Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Repository
auto-lifting,(default package),MavenWrapperDownloader,main,Empty catch clause,The method has an empty catch block.,49,auto-lifting
auto-lifting,(default package),MavenWrapperDownloader,main,Long Identifier,The length of the identifier mavenWrapperPropertyFileInputStream is 35.,49,auto-lifting
auto-lifting,com.ngd.autolifting,Middleware,encrypt,Long Statement,"The length of the statement ""return this.encoder.encodeToString(crypto.encrypt(this.crypto.getPublic(this.gwPublicKeyPath)`data.getBytes(StandardCharsets.UTF_8)));"" is 134.",31,auto-lifting
auto-lifting,com.ngd.autolifting,Middleware,sign,Long Statement,"The length of the statement ""return this.encoder.encodeToString(crypto.sign(crypto.getPrivate(this.privateKeyPath)`data.getBytes(StandardCharsets.UTF_8)));"" is 126.",45,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,recharge,Magic Number,The method contains a magic number: 20,51,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,recharge,Magic Number,The method contains a magic number: 300000,51,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,initialize,Long Statement,"The length of the statement ""byte[] rawSignatureBytes=crypto.sign(this.crypto.getPrivate(this.privateKeyPath)`initializationRawData.getBytes(StandardCharsets.UTF_8));"" is 137.",64,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,initialize,Long Statement,"The length of the statement ""String body=""{\n"" + ""\t\""merchantAggregatorId\"":\"""" + this.maId + ""\""`\n""+ ""\t\""requestDateTime\"":\""""+ datetime+ ""\""`\n""+ ""\t\""random\"":\""""+ random+ ""\""`\n""+ ""\t\""signature\"":\""""+ signature+ ""\""\n""+ ""}"";"" is 203.",64,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,Long Identifier,The length of the identifier decryptedRechargeSensitiveDataMap is 33.,132,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,Long Parameter List,The method has 5 parameters. ,132,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,Long Statement,"The length of the statement ""String txnRawDataToBeEncrypted=this.objectMapper.writeValueAsString(this.prepareTxnData(datetime`random`initializeResponse.get(""challenge"").toString()`amount`receiver));"" is 169.",132,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,Long Statement,"The length of the statement ""byte[] rawEncryptedBytes=crypto.encryptWithAes(txnRawDataToBeEncrypted`decoder.decode(initializeResponse.get(""key"").toString())`decoder.decode(initializeResponse.get(""iv"").toString()));"" is 185.",132,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,Long Statement,"The length of the statement ""ResponseEntity<String> completeResponse=this.apiGateway.exchange(url`HttpMethod.POST`completeRequestEntity`String.class);"" is 121.",132,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,Long Statement,"The length of the statement ""byte[] rawResponseDecryptedBytes=crypto.decryptWithAes(completeDecodedSensitiveData`decoder.decode(initializeResponse.get(""key"").toString())`decoder.decode(initializeResponse.get(""iv"").toString()));"" is 198.",132,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,Long Statement,"The length of the statement ""Map<String`Object> decryptedRechargeSensitiveDataMap=(Map<String`Object>)this.objectMapper.readValue(responseSensitiveData`Object.class);"" is 137.",132,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,status,Complex Conditional,The conditional expression requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty() is complex.,195,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,status,Long Statement,"The length of the statement ""if (requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty()) throw new Exception(""Invalid requestDateTime or referenceNo"");"" is 182.",195,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,status,Long Statement,"The length of the statement ""String statusRequest=this.baseUrl + ""/"" + this.checkLiftingStatusAPIUrl+ ""?requestDateTime=""+ requestDateTime+ ""&referenceNo=""+ referenceNo;"" is 140.",195,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,status,Long Statement,"The length of the statement ""Map<String`Object> decryptedSensitiveDataMap=(Map<String`Object>)mapper.readValue(response.getBody().toString()`Object.class);"" is 126.",195,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,statusByRequestDateTimeAndReferenceNo,Complex Conditional,The conditional expression requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty() is complex.,243,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,statusByRequestDateTimeAndReferenceNo,Long Statement,"The length of the statement ""if (requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty()) throw new Exception(""Invalid requestDateTime or referenceNo"");"" is 182.",243,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,statusByRequestDateTimeAndReferenceNo,Long Statement,"The length of the statement ""String statusRequest=this.baseUrl + ""/"" + this.checkLiftingStatusAPIUrl+ ""?requestDateTime=""+ requestDateTime+ ""&referenceNo=""+ referenceNo;"" is 140.",243,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,statusByRequestDateTimeAndReferenceNo,Long Statement,"The length of the statement ""Map<String`Object> decryptedSensitiveDataMap=(Map<String`Object>)mapper.readValue(response.getBody().toString()`Object.class);"" is 126.",243,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,statusByRequestDateTimeAndReferenceNo,Magic Number,The method contains a magic number: 20,243,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,statusByRequestDateTimeAndReferenceNo,Magic Number,The method contains a magic number: 300000,243,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,prepareTxnData,Long Parameter List,The method has 5 parameters. ,296,auto-lifting
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,toString,Long Statement,"The length of the statement ""return ""BeneficiaryInfo{"" + ""accountNoType='"" + accountNoType + '\''+ ""` accountNo='""+ accountNo+ '\''+ ""` userType='""+ userType+ '\''+ '}';"" is 140.",58,auto-lifting
auto-lifting,com.ngd.autolifting.model,CryptoUtility,encrypt,Long Statement,"The length of the statement ""catch ( NoSuchPaddingException|BadPaddingException|IllegalBlockSizeException|InvalidKeyException|NoSuchAlgorithmException var6) {"" is 129.",44,auto-lifting
auto-lifting,com.ngd.autolifting.model,CryptoUtility,decrypt,Long Statement,"The length of the statement ""catch ( NoSuchPaddingException|InvalidKeyException|BadPaddingException|IllegalBlockSizeException|NoSuchAlgorithmException var6) {"" is 129.",58,auto-lifting
auto-lifting,com.ngd.autolifting.model,CryptoUtility,decrypt,Magic Number,The method contains a magic number: 2,58,auto-lifting
auto-lifting,com.ngd.autolifting.model,CryptoUtility,generateRandomNumber,Magic Number,The method contains a magic number: 10,175,auto-lifting
auto-lifting,com.ngd.autolifting.model,CryptoUtility,decryptWithAes,Magic Number,The method contains a magic number: 2,207,auto-lifting
auto-lifting,com.ngd.autolifting.model,TransactionInfo,TransactionInfo,Long Parameter List,The method has 10 parameters. ,34,auto-lifting
auto-lifting,com.ngd.autolifting.model,TransactionInfo,toString,Long Statement,"The length of the statement ""return ""TransactionInfo{"" + ""beneficiaryInfo="" + beneficiaryInfo + ""` merchantAggregatorId='""+ merchantId+ '\''+ ""` amount='""+ amount+ '\''+ ""` currency='""+ currency+ '\''+ ""` requestDateTime='""+ requestDateTime+ '\''+ ""` referenceNo='""+ referenceNo+ '\''+ ""` channel='""+ channel+ '\''+ ""` challenge='""+ challenge+ '\''+ ""` txnAdditionalInfo=""+ txnAdditionalInfo+ '}';"" is 368.",130,auto-lifting
bankintegration,(default package),MavenWrapperDownloader,main,Empty catch clause,The method has an empty catch block.,49,bankintegration
bankintegration,(default package),MavenWrapperDownloader,main,Long Identifier,The length of the identifier mavenWrapperPropertyFileInputStream is 35.,49,bankintegration
bankintegration,com.nagad.bank,Bank,bankToNagad,Magic Number,The method contains a magic number: 20,67,bankintegration
bankintegration,com.nagad.bank,Bank,bankToNagad,Magic Number,The method contains a magic number: 300000,67,bankintegration
bankintegration,com.nagad.bank,Bank,initialize,Long Statement,"The length of the statement ""String body=""{\n"" + ""\t\""merchantAggregatorId\"":\"""" + this.maId + ""\""`\n""+ ""\t\""requestDateTime\"":\""""+ datetime+ ""\""`\n""+ ""\t\""random\"":\""""+ random+ ""\""`\n""+ ""\t\""signature\"":\""""+ signature+ ""\""\n""+ ""}"";"" is 203.",77,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Identifier,The length of the identifier decryptedRechargeSensitiveDataMap is 33.,152,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Parameter List,The method has 5 parameters. ,152,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,"The length of the statement ""String txnRawDataToBeEncrypted=this.objectMapper.writeValueAsString(prepareTxnRequestData.prepare(accountNo`amount`bankTransactionId`datetime`(String)initializeResponse.get(""challenge"")`this.mcId`this.mcHmac));"" is 210.",152,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,"The length of the statement ""byte[] rawEncryptedBytes=crypto.encryptWithAes(txnRawDataToBeEncrypted`decoder.decode((String)initializeResponse.get(""key""))`decoder.decode((String)initializeResponse.get(""iv"")));"" is 179.",152,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,"The length of the statement ""String body1=""{\n"" + ""\t\""sensitiveData\"": \"""" + sensitiveData + ""\""`\n""+ ""\t\""aggregatorAdditionalInfo\"": {\""aggregatorName\"": \""Bank Aggreagator two\""}\n""+ ""}"";"" is 162.",152,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,"The length of the statement ""ResponseEntity<String> completeResponse=this.apiGateway.exchange(url`HttpMethod.POST`completeRequestEntity`String.class);"" is 121.",152,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,"The length of the statement ""byte[] rawResponseDecryptedBytes=crypto.decryptWithAes(completeDecodedSensitiveData`decoder.decode((String)initializeResponse.get(""key""))`decoder.decode((String)initializeResponse.get(""iv"")));"" is 192.",152,bankintegration
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,"The length of the statement ""Map<String`Object> decryptedRechargeSensitiveDataMap=(Map<String`Object>)this.objectMapper.readValue(responseSensitiveData`Object.class);"" is 137.",152,bankintegration
bankintegration,com.nagad.bank,Bank,status,Complex Conditional,The conditional expression requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty() is complex.,221,bankintegration
bankintegration,com.nagad.bank,Bank,status,Long Statement,"The length of the statement ""if (requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty()) throw new Exception(""Invalid requestDateTime or referenceNo"");"" is 182.",221,bankintegration
bankintegration,com.nagad.bank,Bank,status,Long Statement,"The length of the statement ""String statusRequest=this.baseUrl + ""/"" + this.statusUrl+ ""?requestDateTime=""+ requestDateTime+ ""&referenceNo=""+ referenceNo;"" is 125.",221,bankintegration
bankintegration,com.nagad.bank,Bank,status,Long Statement,"The length of the statement ""Map<String`Object> decryptedSensitiveDataMap=(Map<String`Object>)mapper.readValue(response.getBody().toString()`Object.class);"" is 126.",221,bankintegration
bankintegration,com.nagad.bank,Bank,verifyAccount,Long Statement,"The length of the statement ""String body=""{\n"" + ""\t\""requestId\"":\"""" + System.currentTimeMillis() + ""\""`\n""+ ""\t\""accountNo\"":\""""+ accountNumber+ ""\""`\n""+ ""\t\""accountNoType\"":\""M\""`\n""+ ""\t\""purpose\"":\""remittance\""\n""+ ""}"";"" is 197.",269,bankintegration
bankintegration,com.nagad.bank,Bank,verifyAccount,Long Statement,"The length of the statement ""ResponseEntity<String> response=this.apiGateway.exchange(verifyAccountRequest`HttpMethod.POST`requestEntity`String.class);"" is 122.",269,bankintegration
bankintegration,com.nagad.bank,BankApplication,runner,Long Statement,"The length of the statement ""String initialResponseBody=""{\n"" + "" \""sensitiveData\"": \""FVUZyLUVutmJOCGsbwAyIri7Wuhih42Vfo4WH5K9L+PT62IQl+u3tT7IiW4f9zZolRffm0gc2kGXU87o8K8vzGCoHDWYd8+qzzelsvQgS7xE6uSGmAzJYwNhGGYlxtgPtKeZ+PpqBgFRkluj+TS/QkevvOGJ4Nhxvy5NVJd6E9rJQtDaPK5Yko/dmyWsYNx4JJ7mh7D6cTiQfHu2niUXWKOM2fYATZ+6qTsNflhG4WhmhiM76xNjOICvyoL6JaVZSDfwDG4xbWBHpNSuFeLyNbnV2tFwtfRX+xFWoxxtz6u6F2o9oTf/64JJQpG3MNnB5qCirGgFt9DMBDEMG1+4nQ==\""`\n"" + "" \""signature\"": \""SHh0WXp4IZt7xvcITYThjU1qHNfKIniRDi/FwEfAgNHayngkj86lom6XF22LBI471czh6qCwO5Z7/LoR2ZUDZ7Xx8dW+7l8qmpRqyUs6eAtXnxph4CuolJFTVWtvBdMq+YK/nKyELSQycQtz5tk754sGjCuTRqmOhu/8wIlC05sYaoKeJinaT2dFUCyYB1dRsax05SlPmDpSDjUzEKrCVgs8HKSYJkn99Yqg3+K2R1rx4PM1D6Djru40K7fKwNKXpmBzmmZ0R0C7D8SnS8EpW2OROBxQpBnUj7wegUKtK5CYl3tdKQo/qX8OMYbtNkOAyez/Nb5io+ViPslzWdshqw==\""\n""+ ""}"";"" is 785.",38,bankintegration
bankintegration,com.nagad.bank,BankApplication,runner,Long Statement,"The length of the statement ""String completeResponseSensitiveData=""Az3VZDdqlTMUv0VBFT/HUikMQ3q+qeId9bBcRqnI7c966zCkT9QRG644ANO15NRhyqQpkW3UpNympV++NLt544NTG6LEg2OaicPv6g4e6LVPDZMGA3SDZd224PAk0HcvTDRkbvCCVumPAur8SXrmGK6NJLhTsJOJM/yI+RV6YiFspd5svabYK65/s/l7+ZCtDMEKkfnncdIMV9b2D0fUTojtf+JR1ZIe8UQgUPorD1gqIua/K5XWoU0IEaDR+b9mGadoMG7aaaL4DOhBHgM8lVbO9u3+AliyBbxcvm8xHck="";"" is 340.",38,bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,"The length of the statement ""String body=""{\n"" + ""\t\""merchantAggregatorId\"":\"""" + this.maId + ""\""`\n""+ ""\t\""requestDateTime\"":\""""+ datetime+ ""\""`\n""+ ""\t\""random\"":\""""+ random+ ""\""`\n""+ ""\t\""signature\"":\""""+ signature+ ""\""\n""+ ""}"";"" is 203.",60,bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,"The length of the statement ""String body1=""{\n"" + ""\t\""sensitiveData\"": \"""" + sensitiveData + ""\""`\n""+ ""\t\""aggregatorAdditionalInfo\"": {\""aggregatorName\"": \""Bank Aggreagator two\""}\n""+ ""}"";"" is 162.",60,bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,"The length of the statement ""ResponseEntity<String> completeResponse=this.apiGateway.exchange(url`HttpMethod.POST`completeRequestEntity`String.class);"" is 121.",60,bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,"The length of the statement ""byte[] rawResponseDecryptedBytes=crypto.decryptWithAes(completeDecodedSensitiveData`decoder.decode(key)`decoder.decode(iv));"" is 124.",60,bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,run,Magic Number,The method contains a magic number: 20,60,bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,run,Magic Number,The method contains a magic number: 300000,60,bankintegration
bankintegration,com.nagad.bank,HomePay,recharge,Long Method,The method has 109 lines of code.,73,bankintegration
bankintegration,com.nagad.bank,HomePay,recharge,Long Statement,"The length of the statement ""String body=""{\n"" + ""\t\""merchantAggregatorId\"":\"""" + this.maId + ""\""`\n""+ ""\t\""requestDateTime\"":\""""+ datetime+ ""\""`\n""+ ""\t\""random\"":\""""+ random+ ""\""`\n""+ ""\t\""signature\"":\""""+ signature+ ""\""\n""+ ""}"";"" is 203.",73,bankintegration
bankintegration,com.nagad.bank,HomePay,recharge,Long Statement,"The length of the statement ""ResponseEntity<String> completeResponse=this.apiGateway.exchange(url`HttpMethod.POST`completeRequestEntity`String.class);"" is 121.",73,bankintegration
bankintegration,com.nagad.bank,HomePay,recharge,Long Statement,"The length of the statement ""byte[] rawResponseDecryptedBytes=crypto.decryptWithAes(completeDecodedSensitiveData`decoder.decode(key)`decoder.decode(iv));"" is 124.",73,bankintegration
bankintegration,com.nagad.bank,HomePay,recharge,Long Statement,"The length of the statement ""Map<String`Object> responseSensitiveDataMap=(Map<String`Object>)responseMapper.readValue(responseSensitiveData`Object.class);"" is 125.",73,bankintegration
bankintegration,com.nagad.bank,HomePay,recharge,Magic Number,The method contains a magic number: 20,73,bankintegration
bankintegration,com.nagad.bank,HomePay,recharge,Magic Number,The method contains a magic number: 300000,73,bankintegration
bankintegration,com.nagad.bank,HomePay,prepareTxnData,Magic Number,The method contains a magic number: 2000,218,bankintegration
bankintegration,com.nagad.bank,HomePay,prepareTxnData,Magic Number,The method contains a magic number: 100,218,bankintegration
bankintegration,com.nagad.bank,HomePay,prepareTxnData,Magic Number,The method contains a magic number: 102.5,218,bankintegration
bankintegration,com.nagad.bank,HomePay,prepareTxnData,Magic Number,The method contains a magic number: 100,218,bankintegration
bankintegration,com.nagad.bank,HomePay,prepareTxnData,Magic Number,The method contains a magic number: 2.5,218,bankintegration
bankintegration,com.nagad.bank,HomePay,verifyAccount,Long Statement,"The length of the statement ""String body=""{\n"" + ""\t\""requestId\"":\"""" + System.currentTimeMillis() + ""\""`\n""+ ""\t\""accountNo\"":\""""+ accountNumber+ ""\""`\n""+ ""\t\""accountNoType\"":\""M\""`\n""+ ""\t\""purpose\"":\""remittance\""\n""+ ""}"";"" is 197.",283,bankintegration
bankintegration,com.nagad.bank,HomePay,verifyAccount,Long Statement,"The length of the statement ""ResponseEntity<String> response=this.apiGateway.exchange(verifyAccountRequest`HttpMethod.POST`requestEntity`String.class);"" is 122.",283,bankintegration
bankintegration,com.nagad.bank,HomePay,checkAccountAndTransactionEligibility,Long Identifier,The length of the field checkAccountAndTransactionEligibilityUrl is 40.,314,bankintegration
bankintegration,com.nagad.bank,HomePay,checkAccountAndTransactionEligibility,Long Statement,"The length of the statement ""String body=""{\n"" + "" \""requestId\"": \""Bank123\""`\n"" + "" \""accountNo\"": \"""" + accountNumber + ""\""`\n""+ "" \""accountNoType\"": \""M\""`\n""+ "" \""txnType\"": \""remittance\""`\n""+ "" \""txnAmount\"": \""""+ amount+ ""\""\n""+ ""}"";"" is 212.",314,bankintegration
bankintegration,com.nagad.bank,HomePay,checkAccountAndTransactionEligibility,Long Statement,"The length of the statement ""ResponseEntity<String> response=this.apiGateway.exchange(verifyAccountRequest`HttpMethod.POST`requestEntity`String.class);"" is 122.",314,bankintegration
bankintegration,com.nagad.bank,HomePay,checkTransactionEligibility,Long Identifier,The length of the field checkTransactionEligibilityUrl is 30.,344,bankintegration
