Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
auto-lifting,(default package),MavenWrapperDownloader,5,0,3,1,84,8,0,0,1.0,0,0,E:\Nagad_API\KSL Codebase\auto-lifting\.mvn\wrapper\MavenWrapperDownloader.java,22
auto-lifting,com.ngd.autolifting,AutoLiftingApplication,0,0,3,2,14,3,0,0,-1.0,0,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\AutoLiftingApplication.java,10
auto-lifting,com.ngd.autolifting,Middleware,6,0,5,5,50,5,0,0,0.0,0,1,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\Middleware.java,15
auto-lifting,com.ngd.autolifting,AutoLiftingApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\test\java\com\ngd\autolifting\AutoLiftingApplicationTests.java,6
auto-lifting,com.ngd.autolifting.exception,AsymmetricEncryptionFailure,0,0,1,1,9,1,0,0,-1.0,0,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\exception\AsymmetricEncryptionFailure.java,20
auto-lifting,com.ngd.autolifting.exception,ResourceNotFoundException,1,0,4,4,15,4,0,0,1.0,0,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\exception\ResourceNotFoundException.java,20
auto-lifting,com.ngd.autolifting.exception,SignatureVerificationException,1,0,4,4,15,4,0,0,1.0,0,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\exception\SignatureVerificationException.java,20
auto-lifting,com.ngd.autolifting.exception,SymmetricEncryptionFailure,0,0,1,1,9,1,0,0,-1.0,0,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\exception\SymmetricEncryptionFailure.java,20
auto-lifting,com.ngd.autolifting.model,AutoLifting,16,0,8,8,273,11,0,0,0.0,0,3,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\model\AutoLifting.java,27
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,3,0,9,9,33,9,0,0,0.2222222222222222,2,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\model\BeneficiaryInfo.java,20
auto-lifting,com.ngd.autolifting.model,CryptoUtility,0,0,11,11,133,12,0,0,-1.0,2,0,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\model\CryptoUtility.java,40
auto-lifting,com.ngd.autolifting.model,TransactionInfo,10,0,23,23,89,23,0,0,0.08695652173913043,1,1,E:\Nagad_API\KSL Codebase\auto-lifting\src\main\java\com\ngd\autolifting\model\TransactionInfo.java,22
