Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
bankintegration,(default package),MavenWrapperDownloader,main,Empty catch clause,The method has an empty catch block.,49
bankintegration,(default package),MavenWrapperDownloader,main,Long Identifier,The length of the identifier mavenWrapperPropertyFileInputStream is 35.,49
bankintegration,com.nagad.bank,Bank,bankToNagad,Magic Number,The method contains a magic number: 20,67
bankintegration,com.nagad.bank,Bank,bankToNagad,Magic Number,The method contains a magic number: 300000,67
bankintegration,com.nagad.bank,Bank,initialize,Long Statement,The length of the statement "String body="{\n" + "\t\"merchantAggregatorId\":\"" + this.maId + "\"`\n"+ "\t\"requestDateTime\":\""+ datetime+ "\"`\n"+ "\t\"random\":\""+ random+ "\"`\n"+ "\t\"signature\":\""+ signature+ "\"\n"+ "}";" is 203.,77
bankintegration,com.nagad.bank,Bank,recharge,Long Identifier,The length of the identifier decryptedRechargeSensitiveDataMap is 33.,152
bankintegration,com.nagad.bank,Bank,recharge,Long Parameter List,The method has 5 parameters. ,152
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,The length of the statement "String txnRawDataToBeEncrypted=this.objectMapper.writeValueAsString(prepareTxnRequestData.prepare(accountNo`amount`bankTransactionId`datetime`(String)initializeResponse.get("challenge")`this.mcId`this.mcHmac));" is 210.,152
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,The length of the statement "byte[] rawEncryptedBytes=crypto.encryptWithAes(txnRawDataToBeEncrypted`decoder.decode((String)initializeResponse.get("key"))`decoder.decode((String)initializeResponse.get("iv")));" is 179.,152
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,The length of the statement "String body1="{\n" + "\t\"sensitiveData\": \"" + sensitiveData + "\"`\n"+ "\t\"aggregatorAdditionalInfo\": {\"aggregatorName\": \"Bank Aggreagator two\"}\n"+ "}";" is 162.,152
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,The length of the statement "ResponseEntity<String> completeResponse=this.apiGateway.exchange(url`HttpMethod.POST`completeRequestEntity`String.class);" is 121.,152
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,The length of the statement "byte[] rawResponseDecryptedBytes=crypto.decryptWithAes(completeDecodedSensitiveData`decoder.decode((String)initializeResponse.get("key"))`decoder.decode((String)initializeResponse.get("iv")));" is 192.,152
bankintegration,com.nagad.bank,Bank,recharge,Long Statement,The length of the statement "Map<String`Object> decryptedRechargeSensitiveDataMap=(Map<String`Object>)this.objectMapper.readValue(responseSensitiveData`Object.class);" is 137.,152
bankintegration,com.nagad.bank,Bank,status,Complex Conditional,The conditional expression requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty() is complex.,221
bankintegration,com.nagad.bank,Bank,status,Long Statement,The length of the statement "if (requestDateTime == null || requestDateTime.trim().isEmpty() || referenceNo == null || referenceNo.trim().isEmpty()) throw new Exception("Invalid requestDateTime or referenceNo");" is 182.,221
bankintegration,com.nagad.bank,Bank,status,Long Statement,The length of the statement "String statusRequest=this.baseUrl + "/" + this.statusUrl+ "?requestDateTime="+ requestDateTime+ "&referenceNo="+ referenceNo;" is 125.,221
bankintegration,com.nagad.bank,Bank,status,Long Statement,The length of the statement "Map<String`Object> decryptedSensitiveDataMap=(Map<String`Object>)mapper.readValue(response.getBody().toString()`Object.class);" is 126.,221
bankintegration,com.nagad.bank,Bank,verifyAccount,Long Statement,The length of the statement "String body="{\n" + "\t\"requestId\":\"" + System.currentTimeMillis() + "\"`\n"+ "\t\"accountNo\":\""+ accountNumber+ "\"`\n"+ "\t\"accountNoType\":\"M\"`\n"+ "\t\"purpose\":\"remittance\"\n"+ "}";" is 197.,269
bankintegration,com.nagad.bank,Bank,verifyAccount,Long Statement,The length of the statement "ResponseEntity<String> response=this.apiGateway.exchange(verifyAccountRequest`HttpMethod.POST`requestEntity`String.class);" is 122.,269
bankintegration,com.nagad.bank,BankApplication,runner,Long Statement,The length of the statement "String initialResponseBody="{\n" + " \"sensitiveData\": \"FVUZyLUVutmJOCGsbwAyIri7Wuhih42Vfo4WH5K9L+PT62IQl+u3tT7IiW4f9zZolRffm0gc2kGXU87o8K8vzGCoHDWYd8+qzzelsvQgS7xE6uSGmAzJYwNhGGYlxtgPtKeZ+PpqBgFRkluj+TS/QkevvOGJ4Nhxvy5NVJd6E9rJQtDaPK5Yko/dmyWsYNx4JJ7mh7D6cTiQfHu2niUXWKOM2fYATZ+6qTsNflhG4WhmhiM76xNjOICvyoL6JaVZSDfwDG4xbWBHpNSuFeLyNbnV2tFwtfRX+xFWoxxtz6u6F2o9oTf/64JJQpG3MNnB5qCirGgFt9DMBDEMG1+4nQ==\"`\n" + " \"signature\": \"SHh0WXp4IZt7xvcITYThjU1qHNfKIniRDi/FwEfAgNHayngkj86lom6XF22LBI471czh6qCwO5Z7/LoR2ZUDZ7Xx8dW+7l8qmpRqyUs6eAtXnxph4CuolJFTVWtvBdMq+YK/nKyELSQycQtz5tk754sGjCuTRqmOhu/8wIlC05sYaoKeJinaT2dFUCyYB1dRsax05SlPmDpSDjUzEKrCVgs8HKSYJkn99Yqg3+K2R1rx4PM1D6Djru40K7fKwNKXpmBzmmZ0R0C7D8SnS8EpW2OROBxQpBnUj7wegUKtK5CYl3tdKQo/qX8OMYbtNkOAyez/Nb5io+ViPslzWdshqw==\"\n"+ "}";" is 785.,38
bankintegration,com.nagad.bank,BankApplication,runner,Long Statement,The length of the statement "String completeResponseSensitiveData="Az3VZDdqlTMUv0VBFT/HUikMQ3q+qeId9bBcRqnI7c966zCkT9QRG644ANO15NRhyqQpkW3UpNympV++NLt544NTG6LEg2OaicPv6g4e6LVPDZMGA3SDZd224PAk0HcvTDRkbvCCVumPAur8SXrmGK6NJLhTsJOJM/yI+RV6YiFspd5svabYK65/s/l7+ZCtDMEKkfnncdIMV9b2D0fUTojtf+JR1ZIe8UQgUPorD1gqIua/K5XWoU0IEaDR+b9mGadoMG7aaaL4DOhBHgM8lVbO9u3+AliyBbxcvm8xHck=";" is 340.,38
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,The length of the statement "String body="{\n" + "\t\"merchantAggregatorId\":\"" + this.maId + "\"`\n"+ "\t\"requestDateTime\":\""+ datetime+ "\"`\n"+ "\t\"random\":\""+ random+ "\"`\n"+ "\t\"signature\":\""+ signature+ "\"\n"+ "}";" is 203.,60
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,The length of the statement "String body1="{\n" + "\t\"sensitiveData\": \"" + sensitiveData + "\"`\n"+ "\t\"aggregatorAdditionalInfo\": {\"aggregatorName\": \"Bank Aggreagator two\"}\n"+ "}";" is 162.,60
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,The length of the statement "ResponseEntity<String> completeResponse=this.apiGateway.exchange(url`HttpMethod.POST`completeRequestEntity`String.class);" is 121.,60
bankintegration,com.nagad.bank,BengalCommercialBank,run,Long Statement,The length of the statement "byte[] rawResponseDecryptedBytes=crypto.decryptWithAes(completeDecodedSensitiveData`decoder.decode(key)`decoder.decode(iv));" is 124.,60
