Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
billpayKSL,com.ngd.billpay,BillPay,initialize,Long Statement,The length of the statement "String body="{\n" + "\t\"merchantAggregatorId\":\"" + this.maId + "\"`\n"+ "\t\"requestDateTime\":\""+ datetime+ "\"`\n"+ "\t\"random\":\""+ random+ "\"`\n"+ "\t\"signature\":\""+ signature+ "\"\n"+ "}";" is 203.,51
billpayKSL,com.ngd.billpay,BillPay,initialize,Magic Number,The method contains a magic number: 20,51
billpayKSL,com.ngd.billpay,BillPay,initialize,Magic Number,The method contains a magic number: 300000,51
billpayKSL,com.ngd.billpay,BillPay,checkStatus,Long Statement,The length of the statement "ResponseEntity<String> responseEntity=this.apiGateway.exchange(transactionStatusEndpoint`HttpMethod.GET`requestEntity`String.class);" is 132.,129
billpayKSL,com.ngd.billpay,BillPay,checkStatus,Long Statement,The length of the statement "if (!transactionStatus.getStatusCode().equals("000_200")) throw new ResourceNotFoundException("Transaction Not Succeeded!");" is 124.,129
billpayKSL,com.ngd.billpay,BillPay,refund,Long Statement,The length of the statement "ResponseEntity<String> responseEntity=this.apiGateway.exchange(refundEndPoint`HttpMethod.POST`requestEntity`String.class);" is 122.,152
billpayKSL,com.ngd.billpay.model,CryptoUtility,decrypt,Long Statement,The length of the statement "catch ( NoSuchPaddingException|InvalidKeyException|BadPaddingException|IllegalBlockSizeException|NoSuchAlgorithmException var6) {" is 129.,44
billpayKSL,com.ngd.billpay.model,CryptoUtility,decrypt,Magic Number,The method contains a magic number: 2,44
billpayKSL,com.ngd.billpay.model,CryptoUtility,decryptWithAESAndIV,Magic Number,The method contains a magic number: 16,57
billpayKSL,com.ngd.billpay.model,CryptoUtility,signWithHMAC,Magic Number,The method contains a magic number: 1024,117
billpayKSL,com.ngd.billpay.model,CryptoUtility,encrypt,Long Statement,The length of the statement "catch ( NoSuchPaddingException|BadPaddingException|IllegalBlockSizeException|InvalidKeyException|NoSuchAlgorithmException var6) {" is 129.,141
billpayKSL,com.ngd.billpay.model,CryptoUtility,generateRandomNumber,Magic Number,The method contains a magic number: 10,265
billpayKSL,com.ngd.billpay.model,CryptoUtility,decryptWithAes,Magic Number,The method contains a magic number: 2,297
billpayKSL,com.ngd.billpay.model,RefundRequest,toString,Long Statement,The length of the statement "return "RefundRequest{" + "requestDate='" + requestDate + '\''+ "` transactionId='"+ transactionId+ '\''+ "` referenceMessage='"+ referenceMessage+ '\''+ '}';" is 158.,32
billpayKSL,com.ngd.billpay.model,SensitiveDataInitializeResponse,toString,Long Statement,The length of the statement "return "SensitiveDataInitializeResponse{" + "paymentReferenceId='" + paymentReferenceId + '\''+ "` challenge='"+ challenge+ '\''+ "` acceptDateTime='"+ acceptDateTime+ '\''+ '}';" is 178.,40
billpayKSL,com.ngd.billpay.model,TransactionStatus,toString,Long Statement,The length of the statement "return "TransactionStatus{" + "merchantId='" + merchantId + '\''+ "` amount='"+ amount+ '\''+ "` customerMobileNo='"+ customerMobileNo+ '\''+ "` payeeMobileNo='"+ payeeMobileNo+ '\''+ "` productNumber='"+ productNumber+ '\''+ "` merchantMobileNo='"+ merchantMobileNo+ '\''+ "` merchantAggregatorId='"+ merchantAggregatorId+ '\''+ "` requestDateTime='"+ requestDateTime+ '\''+ "` issuerTxnDateTime='"+ issuerTxnDateTime+ '\''+ "` issuerTxnId='"+ issuerTxnId+ '\''+ "` status='"+ status+ '\''+ "` statusCode='"+ statusCode+ '\''+ "` userRef='"+ userRef+ '\''+ "` userRefMessage='"+ userRefMessage+ '\''+ "` additionalPaymentInfo="+ additionalPaymentInfo+ "` billPaymentRequest='"+ billPaymentRequest+ '\''+ "` billPaymentResponse='"+ billPaymentResponse+ '\''+ '}';" is 763.,160
