Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
mfi,com.ngd.mfi.exception,AsymmetricEncryptionFailure,AsymmetricEncryptionFailure,3,1,1,26,0,,
mfi,com.ngd.mfi.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,0,23,0,,
mfi,com.ngd.mfi.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,2,27,0,,
mfi,com.ngd.mfi.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,1,31,0,,
mfi,com.ngd.mfi.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,1,35,0,,
mfi,com.ngd.mfi.exception,SignatureVerificationException,SignatureVerificationException,3,1,0,23,0,,
mfi,com.ngd.mfi.exception,SignatureVerificationException,SignatureVerificationException,3,1,2,27,0,,
mfi,com.ngd.mfi.exception,SignatureVerificationException,SignatureVerificationException,3,1,1,31,0,,
mfi,com.ngd.mfi.exception,SignatureVerificationException,SignatureVerificationException,3,1,1,35,0,,
mfi,com.ngd.mfi.exception,SymmetricEncryptionFailure,SymmetricEncryptionFailure,3,1,1,26,0,,
mfi,com.ngd.mfi,MfiApplication,main,3,1,1,34,0,,
mfi,com.ngd.mfi,MfiApplication,restTemplate,3,1,0,38,0,,
mfi,com.ngd.mfi,MfiApplication,cryptoUtility,3,1,0,43,0,,
mfi,com.ngd.mfi,MfiApplication,runner,10,1,0,48,0,,
mfi,com.ngd.mfi,MfiApplicationTests,contextLoads,2,1,0,9,1,,
mfi,com.ngd.mfi.model,BeneficiaryInfo,BeneficiaryInfo,2,1,0,25,0,,
mfi,com.ngd.mfi.model,BeneficiaryInfo,BeneficiaryInfo,4,1,2,28,0,,
mfi,com.ngd.mfi.model,BeneficiaryInfo,getAccountNoType,3,1,0,34,0,,
mfi,com.ngd.mfi.model,BeneficiaryInfo,setAccountNoType,3,1,1,38,0,,
mfi,com.ngd.mfi.model,BeneficiaryInfo,getAccountNo,3,1,0,42,0,,
