Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
mfi,com.ngd.mfi.exception,AsymmetricEncryptionFailure,0,0,1,1,9,1,0,0,-1.0,0,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\exception\AsymmetricEncryptionFailure.java,20
mfi,com.ngd.mfi.exception,ResourceNotFoundException,1,0,4,4,15,4,0,0,1.0,0,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\exception\ResourceNotFoundException.java,20
mfi,com.ngd.mfi.exception,SignatureVerificationException,1,0,4,4,15,4,0,0,1.0,0,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\exception\SignatureVerificationException.java,20
mfi,com.ngd.mfi.exception,SymmetricEncryptionFailure,0,0,1,1,9,1,0,0,-1.0,0,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\exception\SymmetricEncryptionFailure.java,20
mfi,com.ngd.mfi,MfiApplication,3,0,4,3,24,4,0,0,1.0,0,4,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\MfiApplication.java,24
mfi,com.ngd.mfi,MfiApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0,E:\Nagad_API\KSL Codebase\mfi\src\test\java\com\ngd\mfi\MfiApplicationTests.java,6
mfi,com.ngd.mfi.model,BeneficiaryInfo,3,0,9,9,32,9,0,0,0.3333333333333333,4,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\BeneficiaryInfo.java,20
mfi,com.ngd.mfi.model,TransactionInfo,10,0,23,23,89,23,0,0,0.08695652173913043,3,1,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\TransactionInfo.java,22
mfi,com.ngd.mfi.model.m2c,BatchApproveRequest,1,0,4,4,15,4,0,0,0.0,3,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BatchApproveRequest.java,3
mfi,com.ngd.mfi.model.m2c,BatchApproveResponse,4,0,9,9,33,9,0,0,0.0,3,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BatchApproveResponse.java,3
mfi,com.ngd.mfi.model.m2c,BatchCreateRequest,4,0,9,9,33,9,0,0,0.0,2,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BatchCreateRequest.java,5
mfi,com.ngd.mfi.model.m2c,BatchCreateResponse,4,0,9,9,33,9,0,0,0.0,2,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BatchCreateResponse.java,3
mfi,com.ngd.mfi.model.m2c,BatchItemModel,4,0,11,11,41,11,0,0,0.18181818181818182,0,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BatchItemModel.java,6
mfi,com.ngd.mfi.model.m2c,BatchItemRequest,2,0,5,5,19,5,0,0,0.0,2,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BatchItemRequest.java,5
mfi,com.ngd.mfi.model.m2c,BatchItemResponse,4,0,9,9,33,9,0,0,0.0,2,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BatchItemResponse.java,3
mfi,com.ngd.mfi.model.m2c,BathStatusResponse,7,0,15,15,54,15,0,0,0.0,3,1,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\BathStatusResponse.java,5
mfi,com.ngd.mfi.model.m2c,ContentModel,7,0,15,15,54,15,0,0,0.0,0,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\ContentModel.java,5
mfi,com.ngd.mfi.model.m2c,SummaryModel,23,0,47,47,166,47,0,0,0.0,1,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\model\m2c\SummaryModel.java,3
mfi,com.ngd.mfi.service,MicroFinanceService,27,0,16,8,551,20,0,0,0.0,1,10,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\service\MicroFinanceService.java,32
mfi,com.ngd.mfi.service,MicroFinanceServiceLive,27,0,15,7,511,20,0,0,0.0,0,10,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\service\MicroFinanceServiceLive.java,31
mfi,com.ngd.mfi.service,RefundService,25,0,8,6,290,9,0,0,0.0,1,6,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\service\RefundService.java,32
mfi,com.ngd.mfi.service,ReversalService,1,0,2,2,15,2,0,0,1.0,1,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\service\ReversalService.java,8
mfi,com.ngd.mfi.util,CryptoUtility,0,0,11,11,133,12,0,0,-1.0,4,0,E:\Nagad_API\KSL Codebase\mfi\src\main\java\com\ngd\mfi\util\CryptoUtility.java,36
